 FLOW_OUT_1
observed          L95PPU         U95PPU         Best_Sim       M95PPU
1.380000        0.033885        0.804812        0.031800        0.440820       
1.890000        2.266707        9.696434        2.247000        6.188500       
5.200000        0.052007        1.045995        0.049400        0.576685       
6.730000        1.426207        5.651434        1.415000        3.656500       
2.710000        0.020986        0.140052        0.020700        0.083835       
0.140000        0.003443        0.087278        0.003200        0.047695       
0.030000        0.000302        0.075039        0.000100        0.039752       
0.000000        0.000176        0.066585        0.000000        0.035230       
0.000000        0.000161        0.060858        0.000000        0.032200       
0.190000        0.002102        0.061589        0.001900        0.033502       
0.840000        0.006032        0.061739        0.005900        0.035437       
1.420000        0.011824        0.190475        0.011400        0.106125       
1.040000        0.013842        0.331371        0.013000        0.181450       
1.020000        0.013879        0.722356        0.012000        0.387850       
9.850000        0.628532        4.938491        0.617100        2.903550       
11.070000       1.993948        6.498156        1.982000        4.371500       
1.770000        0.662215        1.874270        0.659000        1.302000       
0.160000        0.044183        0.116953        0.044000        0.082595       
0.080000        0.002232        0.096027        0.002000        0.051741       
0.000000        0.000224        0.084814        0.000000        0.044875       
0.000000        0.000206        0.077934        0.000000        0.041235       
0.190000        0.004394        0.078609        0.004200        0.043568       
0.560000        0.007738        0.076157        0.007600        0.043853       
2.200000        0.229090        4.410019        0.218000        2.436000       
1.510000        3.195642        8.338865        3.182000        5.910500       
1.730000        4.032393        11.343364       4.013000        7.891500       
6.920000        0.229675        0.484244        0.229000        0.364050       
28.280001       0.919109        3.749812        0.911600        2.413300       
18.370001       0.129909        1.038008        0.127500        0.609250       
4.150000        0.014034        0.143826        0.013700        0.082545       
0.110000        0.001921        0.084038        0.001700        0.045267       
0.010000        0.000246        0.074648        0.000000        0.039519       
0.160000        0.000191        0.068315        0.000000        0.036150       
0.920000        0.000193        0.063808        0.000000        0.033772       
1.850000        0.003319        0.062903        0.003200        0.034770       
2.040000        0.015400        0.573436        0.013900        0.309960       
1.800000        0.013578        1.390641        0.009900        0.740462       
2.170000        0.039502        2.362444        0.033300        1.265670       
10.310000       0.244227        4.099995        0.234000        2.279500       
32.169998       0.031288        1.270675        0.028000        0.685500       
17.639999       0.143000        1.651000        0.139000        0.939000       
2.860000        0.023796        0.602906        0.022300        0.329480       
0.150000        0.005182        0.078360        0.005000        0.043809       
0.100000        0.000368        0.067030        0.000200        0.035556       
0.110000        0.000160        0.060489        0.000000        0.032005       
0.690000        0.001144        0.077211        0.000900        0.041296       
3.670000        0.201002        5.819149        0.186100        3.166550       
4.090000        0.587978        1.823878        0.584700        1.240350       
12.840000       2.716860        4.926079        2.711000        3.883000       
5.680000        2.178182        3.377985        2.175000        2.811500       
30.340000       1.812200        4.526601        1.805000        3.245000       
21.820000       1.193970        1.559660        1.581000        1.387000       
4.240000        0.820989        0.892148        0.896300        0.858550       
0.670000        0.290679        0.396051        0.290400        0.346300       
0.160000        0.011558        0.342488        0.010700        0.186240       
0.080000        0.000822        0.310527        0.000000        0.164300       
0.270000        0.000758        0.285579        0.000000        0.151101       
0.970000        0.003564        0.267120        0.002900        0.142682       
6.450000        0.302981        6.177207        0.287400        3.403700       
1.110000        0.272916        0.279042        0.272900        0.276150       
0.890000        0.158073        0.713394        0.156600        0.451200       
2.050000        0.027934        0.383831        0.027000        0.215795       
6.180000        0.010972        0.196286        0.010500        0.108790       
10.860000       0.035287        1.885056        0.030400        1.011690       
5.540000        0.019222        0.185969        0.018800        0.107240       
7.060000        0.005208        0.155811        0.004800        0.084705       
0.200000        0.000446        0.136652        0.000100        0.072343       
0.000000        0.000321        0.121338        0.000000        0.064200       
0.090000        0.000453        0.113314        0.000200        0.060027       
1.070000        0.001436        0.107982        0.001200        0.057677       
1.650000        0.001550        0.099296        0.001300        0.053145       
1.980000        0.002184        0.091526        0.001900        0.049344       
1.930000        0.008187        0.089987        0.008000        0.051365       
2.980000        0.004712        0.079600        0.004500        0.044242       
4.750000        0.028524        0.900798        0.026200        0.488955       
17.879999       0.038259        1.549794        0.034200        0.836125       
9.790000        0.025033        0.689523        0.023300        0.375785       
0.850000        0.006958        0.084004        0.006800        0.047627       
1.090000        0.000270        0.068593        0.000100        0.036334       
0.050000        0.000157        0.059355        0.000000        0.031405       
0.000000        0.000209        0.056004        0.000100        0.029661       
1.040000        0.003411        0.058439        0.003300        0.032458       
1.980000        0.009505        0.060050        0.009400        0.036185       
1.950000        0.009281        0.055540        0.009200        0.033699       
1.840000        0.006975        0.049272        0.006900        0.029301       
2.770000        0.647960        5.571674        0.634900        3.246950       
3.580000        0.016403        0.598246        0.014900        0.323530       
10.160000       0.005843        0.054793        0.005700        0.031682       
2.840000        0.013808        1.782771        0.009100        0.947558       
0.320000        0.012579        0.087630        0.012400        0.052195       
2.050000        0.020207        1.904066        0.015200        1.014605       
0.000000        0.002852        0.061838        0.002700        0.033988       
0.000000        0.000595        0.054816        0.000500        0.029215       
0.230000        0.000301        0.050179        0.000200        0.026630       
0.700000        0.025579        0.398347        0.024600        0.222345       
0.880000        0.018989        0.067490        0.018900        0.044590       
2.070000        0.010936        0.100003        0.010700        0.057950       
1.800000        0.853682        10.799602       0.827300        6.103650       
11.490000       1.734028        6.268395        1.722000        4.127500       
8.530000        0.298193        1.992149        0.293700        1.192350       
2.710000        0.025304        0.569541        0.023900        0.312580       
0.540000        0.008833        0.091250        0.008600        0.052337       
0.000000        0.001691        0.078196        0.001500        0.042074       
0.000000        0.000961        0.070852        0.000800        0.037853       
0.000000        0.000176        0.063930        0.000000        0.033829       
0.250000        0.001214        0.060963        0.001100        0.032753       
0.770000        0.005111        0.061915        0.005000        0.035095       
1.050000        0.005145        0.056645        0.005000        0.032329       
1.190000        0.018781        0.516836        0.017500        0.281680       
1.440000        0.013493        0.067498        0.013300        0.042000       
1.330000        0.006343        0.056106        0.006200        0.032610       
1.380000        0.005841        0.051496        0.005700        0.029940       
0.230000        0.001203        0.042188        0.001100        0.022837       
0.210000        0.000085        0.032310        0.000000        0.017095       
0.090000        0.000073        0.027707        0.000000        0.014660       
0.080000        0.000065        0.024504        0.000000        0.012965       
0.000000        0.000064        0.024211        0.000000        0.012810       
0.020000        0.000145        0.024187        0.000100        0.012836       
0.720000        0.011661        0.136325        0.011300        0.077465       
1.220000        0.008759        0.034810        0.008700        0.022510       
1.330000        0.010772        0.041762        0.010700        0.027130       
0.980000        0.007259        0.775660        0.005200        0.412861       
3.270000        1.000353        7.994833        0.981800        4.692400       
2.240000        0.034201        0.106199        0.034000        0.072205       
0.330000        0.018090        0.131199        0.017800        0.077795       
0.130000        0.004861        0.031165        0.004800        0.018745       
0.000000        0.000063        0.020847        0.000000        0.011034       
0.000000        0.000045        0.017029        0.000000        0.009010       
0.000000        0.000044        0.016726        0.000000        0.008850       
0.290000        0.001640        0.021643        0.001600        0.012199       
0.430000        0.013544        0.282788        0.012800        0.155665       
0.650000        0.022683        0.920885        0.020300        0.496800       
1.230000        0.025129        0.043441        0.025100        0.034795       
1.030000        0.011576        0.028814        0.011500        0.020675       
2.350000        0.008131        0.199909        0.007600        0.109361       
0.730000        0.006984        0.025679        0.006900        0.016852       
0.480000        0.005506        0.022754        0.005500        0.014610       
0.110000        0.000030        0.011274        0.000000        0.005965       
0.000000        0.000019        0.007060        0.000000        0.003735       
0.000000        0.000011        0.004182        0.000000        0.002212       
0.000000        0.000016        0.005971        0.000000        0.003159       

p-factor= 0.13
r-factor= 0.16
R2= 0.11
Nash_Sutclif= -0.19


 FLOW_OUT_3
observed          L95PPU         U95PPU         Best_Sim       M95PPU
46.270000       5.374760        42.607277       5.276000        25.028000      
59.360001       78.656723       247.072083      78.209999       167.554993     
143.550003      122.634003      361.651917      122.000000      248.800003     
233.869995      46.767448       215.456085      46.320000       135.809998     
91.639999       7.804650        32.177704       7.740000        20.669998      
6.960000        0.002210        0.835569        0.000000        0.442100       
