Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_1     1.380000        0.033885        0.804812        0.031800       
FLOW_OUT_1     1.890000        2.266707        9.696434        2.247000       
FLOW_OUT_1     5.200000        0.052007        1.045995        0.049400       
FLOW_OUT_1     6.730000        1.426207        5.651434        1.415000       
FLOW_OUT_1     2.710000        0.020986        0.140052        0.020700       
FLOW_OUT_1     0.140000        0.003443        0.087278        0.003200       
FLOW_OUT_1     0.030000        0.000302        0.075039        0.000100       
FLOW_OUT_1     0.000000        0.000176        0.066585        0.000000       
FLOW_OUT_1     0.000000        0.000161        0.060858        0.000000       
FLOW_OUT_1     0.190000        0.002102        0.061589        0.001900       
FLOW_OUT_1     0.840000        0.006032        0.061739        0.005900       
FLOW_OUT_1     1.420000        0.011824        0.190475        0.011400       
FLOW_OUT_1     1.040000        0.013842        0.331371        0.013000       
FLOW_OUT_1     1.020000        0.013879        0.722356        0.012000       
FLOW_OUT_1     9.850000        0.628532        4.938491        0.617100       
FLOW_OUT_1     11.070000       1.993948        6.498156        1.982000       
FLOW_OUT_1     1.770000        0.662215        1.874270        0.659000       
FLOW_OUT_1     0.160000        0.044183        0.116953        0.044000       
FLOW_OUT_1     0.080000        0.002232        0.096027        0.002000       
FLOW_OUT_1     0.000000        0.000224        0.084814        0.000000       
FLOW_OUT_1     0.000000        0.000206        0.077934        0.000000       
FLOW_OUT_1     0.190000        0.004394        0.078609        0.004200       
FLOW_OUT_1     0.560000        0.007738        0.076157        0.007600       
FLOW_OUT_1     2.200000        0.229090        4.410019        0.218000       
FLOW_OUT_1     1.510000        3.195642        8.338865        3.182000       
FLOW_OUT_1     1.730000        4.032393        11.343364       4.013000       
FLOW_OUT_1     6.920000        0.229675        0.484244        0.229000       
FLOW_OUT_1     28.280001       0.919109        3.749812        0.911600       
FLOW_OUT_1     18.370001       0.129909        1.038008        0.127500       
FLOW_OUT_1     4.150000        0.014034        0.143826        0.013700       
FLOW_OUT_1     0.110000        0.001921        0.084038        0.001700       
FLOW_OUT_1     0.010000        0.000246        0.074648        0.000000       
FLOW_OUT_1     0.160000        0.000191        0.068315        0.000000       
FLOW_OUT_1     0.920000        0.000193        0.063808        0.000000       
FLOW_OUT_1     1.850000        0.003319        0.062903        0.003200       
FLOW_OUT_1     2.040000        0.015400        0.573436        0.013900       
FLOW_OUT_1     1.800000        0.013578        1.390641        0.009900       
FLOW_OUT_1     2.170000        0.039502        2.362444        0.033300       
FLOW_OUT_1     10.310000       0.244227        4.099995        0.234000       
FLOW_OUT_1     32.169998       0.031288        1.270675        0.028000       
FLOW_OUT_1     17.639999       0.143000        1.651000        0.139000       
FLOW_OUT_1     2.860000        0.023796        0.602906        0.022300       
FLOW_OUT_1     0.150000        0.005182        0.078360        0.005000       
FLOW_OUT_1     0.100000        0.000368        0.067030        0.000200       
FLOW_OUT_1     0.110000        0.000160        0.060489        0.000000       
FLOW_OUT_1     0.690000        0.001144        0.077211        0.000900       
FLOW_OUT_1     3.670000        0.201002        5.819149        0.186100       
FLOW_OUT_1     4.090000        0.587978        1.823878        0.584700       
FLOW_OUT_1     12.840000       2.716860        4.926079        2.711000       
FLOW_OUT_1     5.680000        2.178182        3.377985        2.175000       
FLOW_OUT_1     30.340000       1.812200        4.526601        1.805000       
FLOW_OUT_1     21.820000       1.193970        1.559660        1.581000       
FLOW_OUT_1     4.240000        0.820989        0.892148        0.896300       
FLOW_OUT_1     0.670000        0.290679        0.396051        0.290400       
FLOW_OUT_1     0.160000        0.011558        0.342488        0.010700       
FLOW_OUT_1     0.080000        0.000822        0.310527        0.000000       
FLOW_OUT_1     0.270000        0.000758        0.285579        0.000000       
FLOW_OUT_1     0.970000        0.003564        0.267120        0.002900       
FLOW_OUT_1     6.450000        0.302981        6.177207        0.287400       
FLOW_OUT_1     1.110000        0.272916        0.279042        0.272900       
FLOW_OUT_1     0.890000        0.158073        0.713394        0.156600       
FLOW_OUT_1     2.050000        0.027934        0.383831        0.027000       
FLOW_OUT_1     6.180000        0.010972        0.196286        0.010500       
FLOW_OUT_1     10.860000       0.035287        1.885056        0.030400       
FLOW_OUT_1     5.540000        0.019222        0.185969        0.018800       
FLOW_OUT_1     7.060000        0.005208        0.155811        0.004800       
FLOW_OUT_1     0.200000        0.000446        0.136652        0.000100       
FLOW_OUT_1     0.000000        0.000321        0.121338        0.000000       
FLOW_OUT_1     0.090000        0.000453        0.113314        0.000200       
FLOW_OUT_1     1.070000        0.001436        0.107982        0.001200       
FLOW_OUT_1     1.650000        0.001550        0.099296        0.001300       
FLOW_OUT_1     1.980000        0.002184        0.091526        0.001900       
FLOW_OUT_1     1.930000        0.008187        0.089987        0.008000       
FLOW_OUT_1     2.980000        0.004712        0.079600        0.004500       
FLOW_OUT_1     4.750000        0.028524        0.900798        0.026200       
FLOW_OUT_1     17.879999       0.038259        1.549794        0.034200       
FLOW_OUT_1     9.790000        0.025033        0.689523        0.023300       
FLOW_OUT_1     0.850000        0.006958        0.084004        0.006800       
FLOW_OUT_1     1.090000        0.000270        0.068593        0.000100       
FLOW_OUT_1     0.050000        0.000157        0.059355        0.000000       
FLOW_OUT_1     0.000000        0.000209        0.056004        0.000100       
FLOW_OUT_1     1.040000        0.003411        0.058439        0.003300       
FLOW_OUT_1     1.980000        0.009505        0.060050        0.009400       
FLOW_OUT_1     1.950000        0.009281        0.055540        0.009200       
FLOW_OUT_1     1.840000        0.006975        0.049272        0.006900       
FLOW_OUT_1     2.770000        0.647960        5.571674        0.634900       
FLOW_OUT_1     3.580000        0.016403        0.598246        0.014900       
FLOW_OUT_1     10.160000       0.005843        0.054793        0.005700       
FLOW_OUT_1     2.840000        0.013808        1.782771        0.009100       
