
FLOW_OUT_1
observed    simulated
1.3800        0.0318      
1.8900        2.2470      
5.2000        0.0494      
6.7300        1.4150      
2.7100        0.0207      
0.1400        0.0032      
0.0300        0.0001      
0.0000        0.0000      
0.0000        0.0000      
0.1900        0.0019      
0.8400        0.0059      
1.4200        0.0114      
1.0400        0.0130      
1.0200        0.0120      
9.8500        0.6171      
11.0700       1.9820      
1.7700        0.6590      
0.1600        0.0440      
0.0800        0.0020      
0.0000        0.0000      
0.0000        0.0000      
0.1900        0.0042      
0.5600        0.0076      
2.2000        0.2180      
1.5100        3.1820      
1.7300        4.0130      
6.9200        0.2290      
28.2800       0.9116      
18.3700       0.1275      
4.1500        0.0137      
0.1100        0.0017      
0.0100        0.0000      
0.1600        0.0000      
0.9200        0.0000      
1.8500        0.0032      
2.0400        0.0139      
1.8000        0.0099      
2.1700        0.0333      
10.3100       0.2340      
32.1700       0.0280      
17.6400       0.1390      
2.8600        0.0223      
0.1500        0.0050      
0.1000        0.0002      
0.1100        0.0000      
0.6900        0.0009      
3.6700        0.1861      
4.0900        0.5847      
12.8400       2.7110      
5.6800        2.1750      
30.3400       1.8050      
21.8200       1.5810      
4.2400        0.8963      
0.6700        0.2904      
0.1600        0.0107      
0.0800        0.0000      
0.2700        0.0000      
0.9700        0.0029      
6.4500        0.2874      
1.1100        0.2729      
0.8900        0.1566      
2.0500        0.0270      
6.1800        0.0105      
10.8600       0.0304      
5.5400        0.0188      
7.0600        0.0048      
0.2000        0.0001      
0.0000        0.0000      
0.0900        0.0002      
1.0700        0.0012      
1.6500        0.0013      
1.9800        0.0019      
1.9300        0.0080      
2.9800        0.0045      
4.7500        0.0262      
17.8800       0.0342      
9.7900        0.0233      
0.8500        0.0068      
1.0900        0.0001      
0.0500        0.0000      
0.0000        0.0001      
1.0400        0.0033      
1.9800        0.0094      
1.9500        0.0092      
1.8400        0.0069      
2.7700        0.6349      
3.5800        0.0149      
10.1600       0.0057      
2.8400        0.0091      
0.3200        0.0124      
2.0500        0.0152      
0.0000        0.0027      
0.0000        0.0005      
0.2300        0.0002      
0.7000        0.0246      
0.8800        0.0189      
2.0700        0.0107      
1.8000        0.8273      
11.4900       1.7220      
8.5300        0.2937      
2.7100        0.0239      
0.5400        0.0086      
0.0000        0.0015      
0.0000        0.0008      
0.0000        0.0000      
0.2500        0.0011      
0.7700        0.0050      
1.0500        0.0050      
1.1900        0.0175      
1.4400        0.0133      
1.3300        0.0062      
1.3800        0.0057      
0.2300        0.0011      
0.2100        0.0000      
0.0900        0.0000      
0.0800        0.0000      
0.0000        0.0000      
0.0200        0.0001      
0.7200        0.0113      
1.2200        0.0087      
1.3300        0.0107      
0.9800        0.0052      
3.2700        0.9818      
2.2400        0.0340      
0.3300        0.0178      
0.1300        0.0048      
0.0000        0.0000      
0.0000        0.0000      
0.0000        0.0000      
0.2900        0.0016      
0.4300        0.0128      
0.6500        0.0203      
1.2300        0.0251      
1.0300        0.0115      
2.3500        0.0076      
0.7300        0.0069      
0.4800        0.0055      
0.1100        0.0000      
0.0000        0.0000      
0.0000        0.0000      
0.0000        0.0000      


FLOW_OUT_3
observed    simulated
46.2700       5.2760      
59.3600       78.2100     
143.5500      122.0000    
233.8700      46.3200     
91.6400       7.7400      
6.9600        0.0000      
0.9700        0.0000      
0.4800        0.0000      
0.8500        0.0000      
10.8200       0.0000      
28.0900       0.0000      
40.0100       7.9520      
48.1700       1.5780      
56.7000       103.9000    
213.4200      74.5500     
329.3000      66.1800     
72.6700       25.4800     
10.3300       2.9480      
2.9700        0.0000      
0.7200        0.0000      
3.1000        0.0000      
22.8900       0.0000      
36.4100       26.5300     
72.6800       7.4870      
66.1800       68.7200     
97.1100       202.3000    
150.5900      182.1000    
458.1700      93.4000     
423.7100      64.5200     
241.7000      24.4300     
43.4500       6.3310      
15.9700       2.4350      
23.6400       2.7740      
40.4300       5.6090      
57.0300       22.9300     
72.3900       32.0100     
