Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_1     1.380000        0.204369        0.758088        0.202900       
FLOW_OUT_1     1.890000        2.426108        9.629636        2.407000       
FLOW_OUT_1     5.200000        0.204040        0.973120        0.202000       
FLOW_OUT_1     6.730000        1.642415        5.568871        1.632000       
FLOW_OUT_1     2.710000        0.047204        0.225874        0.236300       
FLOW_OUT_1     0.140000        0.001235        0.189513        0.200500       
FLOW_OUT_1     0.030000        0.000443        0.167360        0.177100       
FLOW_OUT_1     0.000000        0.000398        0.150444        0.159200       
FLOW_OUT_1     0.000000        0.000363        0.137309        0.145300       
FLOW_OUT_1     0.190000        0.002030        0.131448        0.139000       
FLOW_OUT_1     0.840000        0.005835        0.125610        0.132600       
FLOW_OUT_1     1.420000        0.127346        0.144688        0.127300       
FLOW_OUT_1     1.040000        0.119440        0.285320        0.119000       
FLOW_OUT_1     1.020000        0.110691        0.672798        0.109200       
FLOW_OUT_1     9.850000        0.760793        4.867359        0.749900       
FLOW_OUT_1     11.070000       2.021585        6.389129        2.010000       
FLOW_OUT_1     1.770000        0.889245        1.773404        0.886900       
FLOW_OUT_1     0.160000        0.009207        0.651045        0.688500       
FLOW_OUT_1     0.080000        0.001565        0.583161        0.617100       
FLOW_OUT_1     0.000000        0.001398        0.528538        0.559300       
FLOW_OUT_1     0.000000        0.001279        0.483462        0.511600       
FLOW_OUT_1     0.190000        0.005025        0.449465        0.475400       
FLOW_OUT_1     0.560000        0.008189        0.415529        0.439300       
FLOW_OUT_1     2.200000        0.503420        4.356171        0.493200       
FLOW_OUT_1     1.510000        3.395950        8.278101        3.383000       
FLOW_OUT_1     1.730000        4.292515        11.272669       4.274000       
FLOW_OUT_1     6.920000        0.399658        0.534435        0.542300       
FLOW_OUT_1     28.280001       1.332225        3.679050        1.326000       
FLOW_OUT_1     18.370001       0.555684        0.964447        0.554600       
FLOW_OUT_1     4.150000        0.054213        0.387170        0.406600       
FLOW_OUT_1     0.110000        0.001279        0.340599        0.360400       
FLOW_OUT_1     0.010000        0.000834        0.308355        0.326300       
FLOW_OUT_1     0.160000        0.000747        0.281894        0.298300       
FLOW_OUT_1     0.920000        0.000690        0.259119        0.274200       
FLOW_OUT_1     1.850000        0.003476        0.241604        0.255500       
FLOW_OUT_1     2.040000        0.245550        0.528206        0.244800       
