
FLOW_OUT_1
observed    simulated
1.3800        0.2029      
1.8900        2.4070      
5.2000        0.2020      
6.7300        1.6320      
2.7100        0.2363      
0.1400        0.2005      
0.0300        0.1771      
0.0000        0.1592      
0.0000        0.1453      
0.1900        0.1390      
0.8400        0.1326      
1.4200        0.1273      
1.0400        0.1190      
1.0200        0.1092      
9.8500        0.7499      
11.0700       2.0100      
1.7700        0.8869      
0.1600        0.6885      
0.0800        0.6171      
0.0000        0.5593      
0.0000        0.5116      
0.1900        0.4754      
0.5600        0.4393      
2.2000        0.4932      
1.5100        3.3830      
1.7300        4.2740      
6.9200        0.5423      
28.2800       1.3260      
18.3700       0.5546      
4.1500        0.4066      
0.1100        0.3604      
0.0100        0.3263      
0.1600        0.2983      
0.9200        0.2742      
1.8500        0.2555      
2.0400        0.2448      
1.8000        0.2209      
2.1700        0.2281      
10.3100       0.4171      
32.1700       0.1987      
17.6400       0.2973      
2.8600        0.1677      
0.1500        0.1380      
0.1000        0.1205      
0.1100        0.1089      
0.6900        0.1023      
3.6700        0.2806      
4.0900        0.5989      
12.8400       1.7320      
5.6800        1.4660      
30.3400       1.3020      
21.8200       1.4360      
4.2400        1.3130      
0.6700        1.1880      
0.1600        1.0790      
0.0800        0.9838      
0.2700        0.9016      
0.9700        0.8310      
6.4500        0.8839      
1.1100        0.7328      
0.8900        0.6614      
2.0500        0.6040      
6.1800        0.5491      
10.8600       0.5235      
5.5400        0.4711      
7.0600        0.4155      
0.2000        0.3730      
0.0000        0.3368      
0.0900        0.3106      
1.0700        0.2887      
1.6500        0.2646      
1.9800        0.2429      
1.9300        0.2283      
2.9800        0.2064      
4.7500        0.2112      
17.8800       0.2036      
9.7900        0.1784      
0.8500        0.1487      
1.0900        0.1268      
0.0500        0.1120      
0.0000        0.1042      
1.0400        0.1027      
1.9800        0.1005      
1.9500        0.0926      
1.8400        0.0831      
2.7700        0.7065      
3.5800        0.0831      
10.1600       0.0680      
2.8400        0.0662      
0.3200        0.0648      
2.0500        0.0632      
0.0000        0.0462      
0.0000        0.0400      
0.2300        0.0364      
0.7000        0.0583      
0.8800        0.0497      
2.0700        0.0388      
1.8000        0.8597      
11.4900       1.8640      
8.5300        0.5860      
2.7100        0.3517      
0.5400        0.3088      
0.0000        0.2756      
0.0000        0.2505      
0.0000        0.2280      
0.2500        0.2111      
0.7700        0.1977      
1.0500        0.1814      
1.1900        0.1786      
1.4400        0.1613      
1.3300        0.1420      
1.3800        0.1300      
0.2300        0.1140      
0.2100        0.0977      
0.0900        0.0874      
0.0800        0.0791      
0.0000        0.0743      
0.0200        0.0701      
0.7200        0.0783      
1.2200        0.0699      
1.3300        0.0667      
0.9800        0.0565      
3.2700        1.0290      
2.2400        0.0824      
0.3300        0.0621      
0.1300        0.0450      
0.0000        0.0323      
0.0000        0.0269      
0.0000        0.0256      
0.2900        0.0299      
0.4300        0.0390      
0.6500        0.0438      
1.2300        0.0468      
1.0300        0.0312      
2.3500        0.0258      
0.7300        0.0235      
0.4800        0.0206      
0.1100        0.0089      
0.0000        0.0047      
0.0000        0.0019      
0.0000        0.0040      


FLOW_OUT_3
observed    simulated
46.2700       17.6600     
59.3600       88.7700     
143.5500      132.4000    
233.8700      52.6200     
91.6400       16.3000     
6.9600        5.5650      
0.9700        3.8450      
0.4800        3.1460      
0.8500        4.0970      
10.8200       7.5620      
28.0900       8.9880      
40.0100       17.2900     
48.1700       9.8140      
56.7000       113.1000    
213.4200      82.0500     
329.3000      64.7400     
72.6700       31.4400     
10.3300       14.6500     
2.9700        6.8410      
0.7200        5.8970      
3.1000        7.4600      
22.8900       10.8100     
36.4100       38.7700     
72.6800       15.9000     
66.1800       76.6700     
97.1100       212.0000    
150.5900      191.2000    
458.1700      94.0600     
423.7100      54.7100     
241.7000      27.6100     
43.4500       22.0100     
15.9700       21.1400     
23.6400       20.8800     
40.4300       21.4700     
57.0300       35.1600     
72.3900       39.3400     
61.6200       48.7400     
77.9000       98.4300     
173.6500      64.5200     
415.1000      45.3700     
277.3500      43.1300     
73.3700       21.3000     
10.4700       16.9700     
13.2200       15.4900     
10.8500       15.4800     
23.2600       17.4800     
129.6900      24.3600     
138.7700      52.9800     
201.9800      127.4000    
155.2700      132.6000    
448.4200      87.3600     
459.1800      131.7000    
226.2100      100.9000    
59.3300       54.5000     
16.1300       46.5700     
4.8100        42.2100     
16.5800       42.0300     
62.2400       41.8000     
256.3600      153.5000    
122.7200      89.5100     
115.0000      94.4300     
146.2100      74.8600     
225.8400      38.9800     
340.7700      93.9500     
326.3200      116.1000    
197.0500      82.7800     
