
FLOW_OUT_1
observed    simulated
1.3800        0.0298      
1.8900        0.9219      
5.2000        0.0268      
6.7300        0.8801      
2.7100        0.0220      
0.1400        0.0039      
0.0300        0.0002      
0.0000        0.0000      
0.0000        0.0000      
0.1900        0.0020      
0.8400        0.0059      
1.4200        0.0114      
1.0400        0.0130      
1.0200        0.0124      
9.8500        0.4620      
11.0700       3.0160      
1.7700        1.6130      
0.1600        0.2987      
0.0800        0.0024      
0.0000        0.0000      
0.0000        0.0000      
0.1900        0.0042      
0.5600        0.0076      
2.2000        0.0421      
1.5100        1.5500      
1.7300        2.0670      
6.9200        1.2500      
28.2800       0.8893      
18.3700       0.3551      
4.1500        0.0151      
0.1100        0.0021      
0.0100        0.0001      
0.1600        0.0000      
0.9200        0.0000      
1.8500        0.0032      
2.0400        0.0139      
1.8000        0.0100      
2.1700        0.0113      
10.3100       0.0371      
32.1700       0.0279      
17.6400       0.0369      
2.8600        0.0224      
0.1500        0.0051      
0.1000        0.0002      
0.1100        0.0000      
0.6900        0.0009      
3.6700        0.0568      
4.0900        1.0330      
12.8400       4.2760      
5.6800        3.0510      
30.3400       2.7930      
21.8200       2.6280      
4.2400        0.9395      
0.6700        0.0378      
0.1600        0.0003      
0.0800        0.0000      
0.2700        0.0000      
0.9700        0.0030      
6.4500        0.0473      
1.1100        0.0336      
0.8900        0.0224      
2.0500        0.0181      
6.1800        0.0106      
10.8600       0.0153      
5.5400        0.0189      
7.0600        0.0049      
0.2000        0.0001      
0.0000        0.0000      
0.0900        0.0002      
1.0700        0.0012      
1.6500        0.0013      
1.9800        0.0020      
1.9300        0.0080      
2.9800        0.0045      
4.7500        0.0263      
17.8800       0.0343      
9.7900        0.0233      
0.8500        0.0068      
1.0900        0.0001      
0.0500        0.0000      
0.0000        0.0001      
1.0400        0.0033      
1.9800        0.0094      
1.9500        0.0092      
1.8400        0.0069      
2.7700        0.1407      
3.5800        0.0152      
10.1600       0.0059      
2.8400        0.0092      
0.3200        0.0125      
2.0500        0.0153      
0.0000        0.0027      
0.0000        0.0005      
0.2300        0.0002      
0.7000        0.0246      
0.8800        0.0189      
2.0700        0.0107      
1.8000        0.0785      
11.4900       1.5210      
8.5300        1.0860      
2.7100        0.1639      
0.5400        0.0094      
0.0000        0.0017      
0.0000        0.0009      
0.0000        0.0000      
0.2500        0.0011      
0.7700        0.0050      
1.0500        0.0050      
1.1900        0.0175      
1.4400        0.0152      
1.3300        0.0070      
1.3800        0.0061      
0.2300        0.0012      
0.2100        0.0000      
0.0900        0.0000      
0.0800        0.0000      
0.0000        0.0000      
0.0200        0.0001      
0.7200        0.0113      
1.2200        0.0087      
1.3300        0.0107      
0.9800        0.0052      
3.2700        0.2106      
2.2400        0.0356      
0.3300        0.0185      
0.1300        0.0051      
0.0000        0.0000      
0.0000        0.0000      
0.0000        0.0000      
