 FLOW_OUT_1
observed          L95PPU         U95PPU         Best_Sim       M95PPU
1.380000        0.041884        5.630448        0.041900        1.058022       
1.890000        1.034406        11.340109       2.916000        5.973837       
5.200000        0.042100        5.619306        0.132500        1.169147       
6.730000        1.189793        14.839808       1.939000        4.786750       
2.710000        0.024437        0.993777        0.203500        0.256797       
0.140000        0.000773        0.287463        0.108800        0.076762       
0.030000        0.000624        0.232035        0.058000        0.058524       
0.000000        0.000507        0.188511        0.029500        0.046368       
0.000000        0.000334        0.155124        0.014700        0.037855       
0.190000        0.002912        0.628603        0.012600        0.119861       
0.840000        0.008047        1.429820        0.012900        0.230731       
1.420000        0.018696        4.116044        0.015400        0.648581       
1.040000        0.018597        3.135940        0.015300        0.529076       
1.020000        0.024912        7.216711        0.013400        1.214638       
9.850000        0.487712        16.222471       1.089000        4.290925       
11.070000       1.161250        14.342502       4.231000        5.437750       
1.770000        0.149781        5.564045        2.380000        1.989241       
0.160000        0.004390        1.179775        1.255000        0.394552       
0.080000        0.002422        0.901077        0.693400        0.285536       
0.000000        0.001987        0.739071        0.395400        0.216150       
0.000000        0.001642        0.610824        0.228200        0.170213       
0.190000        0.007775        1.687311        0.138700        0.369509       
0.560000        0.009013        0.428179        0.085900        0.169113       
2.200000        0.305905        14.443045       0.267800        3.610625       
1.510000        1.931160        8.199426        3.672000        5.705750       
1.730000        2.327580        14.089878       4.926000        8.457625       
6.920000        0.029574        2.477114        0.316000        0.669646       
28.280001       0.739767        10.670508       1.310000        3.260500       
18.370001       0.091650        5.482169        0.443500        1.306103       
4.150000        0.015545        1.889683        0.160000        0.417586       
0.110000        0.001432        0.532890        0.086000        0.111997       
0.010000        0.000939        0.436635        0.046700        0.090043       
0.160000        0.000776        0.360654        0.024500        0.074370       
0.920000        0.000644        0.299367        0.014500        0.062891       
1.850000        0.004250        0.901355        0.012500        0.177515       
2.040000        0.022085        4.581223        0.019300        0.845014       
1.800000        0.023388        3.269045        0.014600        0.877959       
2.170000        0.070751        3.451611        0.124000        1.172186       
10.310000       0.152362        13.902269       0.455700        3.462287       
32.169998       0.042487        6.917416        0.080200        1.416908       
17.639999       0.100950        8.021541        0.254200        1.747085       
2.860000        0.028890        3.114267        0.056100        0.649977       
0.150000        0.000273        0.079166        0.022400        0.032164       
0.100000        0.000185        0.069006        0.009000        0.023829       
0.110000        0.000136        0.063296        0.003500        0.019716       
0.690000        0.003332        1.564325        0.003700        0.245704       
3.670000        0.131929        21.777269       0.352900        5.025010       
4.090000        0.406145        5.895348        1.299000        1.826725       
12.840000       1.560245        10.670570       4.772000        4.698500       
5.680000        1.202820        4.590261        3.525000        3.021625       
30.340000       0.939122        10.859283       3.045000        3.967062       
21.820000       0.738099        4.234414        3.425000        1.928087       
4.240000        0.389710        2.755030        1.948000        1.244138       
0.670000        0.003295        1.224810        1.114000        0.496803       
0.160000        0.003200        1.190400        0.642600        0.397998       
0.080000        0.002855        1.062060        0.366900        0.326050       
0.270000        0.002365        0.879594        0.212800        0.267550       
0.970000        0.006327        0.733380        0.128500        0.307747       
6.450000        0.393400        20.531000       0.350000        5.052813       
1.110000        0.026460        0.538821        0.097700        0.301514       
0.890000        0.070319        2.858037        0.058900        0.758638       
2.050000        0.026096        1.738419        0.038900        0.454441       
6.180000        0.012515        1.369580        0.023300        0.307167       
10.860000       0.035186        8.974685        0.085800        1.924808       
5.540000        0.021497        2.262094        0.029200        0.405730       
7.060000        0.002744        0.207822        0.010700        0.083028       
0.200000        0.000403        0.187488        0.001600        0.062812       
0.000000        0.000367        0.170655        0.000000        0.053525       
0.090000        0.002130        0.767255        0.000400        0.151289       
1.070000        0.000752        0.154130        0.001800        0.045358       
1.650000        0.000857        0.143816        0.001700        0.040343       
1.980000        0.000305        0.134386        0.002200        0.036206       
1.930000        0.011392        2.290212        0.008100        0.346639       
2.980000        0.005807        1.172081        0.004600        0.188944       
4.750000        0.042976        9.376234        0.026200        1.584583       
17.879999       0.054391        9.395398        0.034300        1.790170       
9.790000        0.031805        3.992259        0.023300        0.772427       
0.850000        0.000861        0.108203        0.006700        0.028226       
1.090000        0.000199        0.092442        0.000100        0.019113       
0.050000        0.000148        0.082584        0.000000        0.015783       
0.000000        0.000358        0.153731        0.000100        0.035557       
1.040000        0.005271        1.323617        0.003300        0.195833       
1.980000        0.012466        2.045724        0.009400        0.297095       
1.950000        0.010497        1.104527        0.009200        0.168773       
1.840000        0.006918        0.206082        0.006900        0.044904       
2.770000        0.181613        7.621017        0.973200        3.264275       
3.580000        0.021376        3.035631        0.032600        0.586446       
10.160000       0.007258        1.076403        0.015900        0.165831       
2.840000        0.027076        8.352038        0.015000        1.689922       
0.320000        0.014080        1.083371        0.015900        0.186045       
2.050000        0.027852        5.884245        0.018900        1.393379       
0.000000        0.000151        0.066600        0.004900        0.016249       
0.000000        0.000212        0.060141        0.001300        0.013127       
0.230000        0.000100        0.055902        0.000500        0.011622       
0.700000        0.038189        7.657475        0.025100        1.178744       
0.880000        0.019586        1.278126        0.019100        0.198060       
2.070000        0.011677        0.589342        0.010900        0.106552       
1.800000        0.156884        21.005133       1.396000        6.768011       
11.490000       1.185795        11.322868       2.788000        4.804250       
8.530000        0.172520        7.294973        1.505000        2.057437       
2.710000        0.036070        3.641637        0.715200        0.861391       
0.540000        0.005929        0.544608        0.411600        0.160261       
0.000000        0.001798        0.444461        0.235400        0.147589       
0.000000        0.002333        0.473973        0.134500        0.150298       
0.000000        0.000809        0.301041        0.076700        0.064382       
0.250000        0.001667        0.293644        0.046300        0.092910       
0.770000        0.006140        0.698587        0.031600        0.149404       
1.050000        0.005432        0.410821        0.020400        0.095481       
1.190000        0.028251        6.061100        0.026400        1.019080       
1.440000        0.015176        1.043463        0.018600        0.178130       
1.330000        0.006487        0.657231        0.009300        0.116154       
1.380000        0.008905        2.256562        0.007500        0.327537       
0.230000        0.001222        0.184663        0.001900        0.041962       
0.210000        0.000107        0.049625        0.000000        0.011745       
0.090000        0.000083        0.038697        0.000000        0.011298       
0.080000        0.000278        0.129177        0.000000        0.025029       
0.000000        0.000056        0.026555        0.000000        0.007276       
0.020000        0.000938        0.564980        0.000100        0.083053       
0.720000        0.017057        3.745902        0.011400        0.571161       
1.220000        0.008625        0.107446        0.008700        0.028402       
1.330000        0.014066        2.221587        0.010700        0.322056       
0.980000        0.008082        1.068936        0.005500        0.324321       
3.270000        0.289887        18.606379       1.421000        5.808763       
2.240000        0.036251        3.286947        0.059200        0.500262       
0.330000        0.019717        1.800707        0.032700        0.295999       
0.130000        0.002456        0.154161        0.013200        0.031216       
0.000000        0.000038        0.017707        0.001500        0.003701       
0.000000        0.000022        0.014452        0.000000        0.002234       
0.000000        0.000687        0.447051        0.000000        0.062364       
0.290000        0.001980        0.533529        0.002400        0.077002       
0.430000        0.021045        4.630434        0.013400        0.730208       
0.650000        0.031631        6.337512        0.020600        1.154515       
1.230000        0.022540        0.367124        0.025300        0.074115       
1.030000        0.009820        0.027645        0.011600        0.015401       
2.350000        0.014762        4.016271        0.007700        0.618580       
0.730000        0.009103        1.441053        0.007000        0.203027       
0.480000        0.008045        1.705070        0.005500        0.236882       
0.110000        0.000015        0.009839        0.000000        0.001403       
0.000000        0.000009        0.006006        0.000000        0.000807       
0.000000        0.000005        0.003447        0.000000        0.000463       
0.000000        0.000099        0.064365        0.000000        0.009384       

p-factor= 0.50
r-factor= 0.59
R2= 0.15
Nash_Sutclif= -0.12


 FLOW_OUT_3
observed          L95PPU         U95PPU         Best_Sim       M95PPU
46.270000       3.565618        156.646713      3.153000        41.125374      
59.360001       53.067101       346.680634      92.519997       176.297501     
143.550003      76.405647       601.000977      153.899994      277.271240     
233.869995      36.044071       545.825928      74.510002       174.201263     
91.639999       5.911010        121.005791      19.709999       33.790375      
6.960000        0.020053        7.459531        1.262000        1.604450       
0.970000        0.007763        5.053620        0.000000        0.679250       
0.480000        0.006576        4.280790        0.000000        0.575375       
0.850000        0.007634        4.969920        0.000000        0.668000       
10.820000       0.064800        36.158401       0.000000        5.875513       
28.090000       0.384262        158.196091      0.044100        32.616894      
40.009998       9.157440        80.923676       8.964000        24.470499      
48.169998       0.976587        57.215546       0.825000        14.146749      
56.700001       77.152466       603.258118      118.400002      234.916260     
213.419998      49.280800       777.863342      101.199997      265.622498     
329.299988      45.239998       496.639923      121.300003      187.755005     
72.669998       14.848101       176.593292      60.959999       69.161255      
10.330000       1.852380        44.207344       23.410000       19.848999      
2.970000        0.019600        10.936800       3.697000        1.932125       
