Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_1     1.380000        0.040072        5.739258        0.325200       
FLOW_OUT_1     1.890000        1.224405        11.474330       1.169000       
FLOW_OUT_1     5.200000        0.042394        5.756016        0.286700       
FLOW_OUT_1     6.730000        1.143335        14.994622       1.106000       
FLOW_OUT_1     2.710000        0.023404        1.162106        0.392800       
FLOW_OUT_1     0.140000        0.001948        0.324645        0.349000       
FLOW_OUT_1     0.030000        0.000795        0.295740        0.318000       
FLOW_OUT_1     0.000000        0.000732        0.272211        0.292700       
FLOW_OUT_1     0.000000        0.000544        0.253053        0.272100       
FLOW_OUT_1     0.190000        0.003104        0.743194        0.259200       
FLOW_OUT_1     0.840000        0.008388        1.542334        0.244500       
FLOW_OUT_1     1.420000        0.018889        4.223924        0.232800       
FLOW_OUT_1     1.040000        0.018792        3.244750        0.218800       
FLOW_OUT_1     1.020000        0.025122        7.333890        0.203800       
FLOW_OUT_1     9.850000        0.492925        16.380907       0.450100       
FLOW_OUT_1     11.070000       1.253830        14.546760       1.218000       
FLOW_OUT_1     1.770000        0.259676        5.778486        0.819000       
FLOW_OUT_1     0.160000        0.011002        0.697466        0.741400       
FLOW_OUT_1     0.080000        0.001884        0.628601        0.675900       
FLOW_OUT_1     0.000000        0.001558        0.579669        0.623300       
FLOW_OUT_1     0.000000        0.001449        0.538935        0.579500       
FLOW_OUT_1     0.190000        0.007893        1.827728        0.546400       
FLOW_OUT_1     0.560000        0.008974        0.477042        0.512400       
FLOW_OUT_1     2.200000        0.321039        14.584122       0.511700       
FLOW_OUT_1     1.510000        2.058140        8.324540        1.991000       
FLOW_OUT_1     1.730000        2.375095        14.232672       2.311000       
FLOW_OUT_1     6.920000        0.038833        2.636918        0.680400       
FLOW_OUT_1     28.280001       0.744806        10.838232       1.030000       
FLOW_OUT_1     18.370001       0.092112        5.654219        0.694300       
FLOW_OUT_1     4.150000        0.016596        2.065453        0.637000       
FLOW_OUT_1     0.110000        0.002128        0.539541        0.580100       
FLOW_OUT_1     0.010000        0.001098        0.498203        0.535700       
FLOW_OUT_1     0.160000        0.000998        0.463140        0.498000       
FLOW_OUT_1     0.920000        0.000940        0.432079        0.464600       
FLOW_OUT_1     1.850000        0.004814        1.020419        0.436800       
FLOW_OUT_1     2.040000        0.022292        4.696543        0.417300       
FLOW_OUT_1     1.800000        0.022954        3.385030        0.384800       
FLOW_OUT_1     2.170000        0.024547        3.576674        0.360500       
FLOW_OUT_1     10.310000       0.152737        14.041771       0.363000       
FLOW_OUT_1     32.169998       0.042811        7.068076        0.331600       
FLOW_OUT_1     17.639999       0.101304        8.186152        0.319600       
FLOW_OUT_1     2.860000        0.029248        3.280737        0.285700       
FLOW_OUT_1     0.150000        0.003767        0.232534        0.249800       
FLOW_OUT_1     0.100000        0.000573        0.208321        0.224000       
FLOW_OUT_1     0.110000        0.000518        0.192603        0.207100       
FLOW_OUT_1     0.690000        0.004494        1.682432        0.195300       
FLOW_OUT_1     3.670000        0.155782        21.909124       0.238300       
FLOW_OUT_1     4.090000        0.443499        6.045228        0.428400       
FLOW_OUT_1     12.840000       1.216875        10.813750       1.165000       
FLOW_OUT_1     5.680000        1.088860        4.755980        1.049000       
FLOW_OUT_1     30.340000       1.102835        11.058622       1.076000       
FLOW_OUT_1     21.820000       0.475181        4.412073        1.372000       
FLOW_OUT_1     4.240000        0.189458        2.957875        1.281000       
FLOW_OUT_1     0.670000        0.006944        1.094822        1.177000       
FLOW_OUT_1     0.160000        0.002722        1.010910        1.087000       
FLOW_OUT_1     0.080000        0.002517        0.936510        1.007000       
FLOW_OUT_1     0.270000        0.002346        0.872805        0.938500       
FLOW_OUT_1     0.970000        0.005058        0.813993        0.875100       
FLOW_OUT_1     6.450000        0.419967        20.681641       0.853700       
FLOW_OUT_1     1.110000        0.035532        0.731264        0.784200       
FLOW_OUT_1     0.890000        0.250856        3.014534        0.719900       
FLOW_OUT_1     2.050000        0.083403        1.880447        0.668000       
FLOW_OUT_1     6.180000        0.011564        1.502572        0.617400       
FLOW_OUT_1     10.860000       0.035486        9.114184        0.579900       
