
FLOW_OUT_1
observed    simulated
1.3800        0.0419      
1.8900        2.9160      
5.2000        0.1325      
6.7300        1.9390      
2.7100        0.2035      
0.1400        0.1088      
0.0300        0.0580      
0.0000        0.0295      
0.0000        0.0147      
0.1900        0.0126      
0.8400        0.0129      
1.4200        0.0154      
1.0400        0.0153      
1.0200        0.0134      
9.8500        1.0890      
11.0700       4.2310      
1.7700        2.3800      
0.1600        1.2550      
0.0800        0.6934      
0.0000        0.3954      
0.0000        0.2282      
0.1900        0.1387      
0.5600        0.0859      
2.2000        0.2678      
1.5100        3.6720      
1.7300        4.9260      
6.9200        0.3160      
28.2800       1.3100      
18.3700       0.4435      
4.1500        0.1600      
0.1100        0.0860      
0.0100        0.0467      
0.1600        0.0245      
0.9200        0.0145      
1.8500        0.0125      
2.0400        0.0193      
1.8000        0.0146      
2.1700        0.1240      
10.3100       0.4557      
32.1700       0.0802      
17.6400       0.2542      
2.8600        0.0561      
0.1500        0.0224      
0.1000        0.0090      
0.1100        0.0035      
0.6900        0.0037      
3.6700        0.3529      
4.0900        1.2990      
12.8400       4.7720      
5.6800        3.5250      
30.3400       3.0450      
21.8200       3.4250      
4.2400        1.9480      
0.6700        1.1140      
0.1600        0.6426      
0.0800        0.3669      
0.2700        0.2128      
0.9700        0.1285      
6.4500        0.3500      
1.1100        0.0977      
0.8900        0.0589      
2.0500        0.0389      
6.1800        0.0233      
10.8600       0.0858      
5.5400        0.0292      
7.0600        0.0107      
0.2000        0.0016      
0.0000        0.0000      
0.0900        0.0004      
1.0700        0.0018      
1.6500        0.0017      
1.9800        0.0022      
1.9300        0.0081      
2.9800        0.0046      
4.7500        0.0262      
17.8800       0.0343      
9.7900        0.0233      
0.8500        0.0067      
1.0900        0.0001      
0.0500        0.0000      
0.0000        0.0001      
1.0400        0.0033      
1.9800        0.0094      
1.9500        0.0092      
1.8400        0.0069      
2.7700        0.9732      
3.5800        0.0326      
10.1600       0.0159      
2.8400        0.0150      
0.3200        0.0159      
2.0500        0.0189      
0.0000        0.0049      
0.0000        0.0013      
0.2300        0.0005      
0.7000        0.0251      
0.8800        0.0191      
2.0700        0.0109      
1.8000        1.3960      
11.4900       2.7880      
8.5300        1.5050      
2.7100        0.7152      
0.5400        0.4116      
0.0000        0.2354      
0.0000        0.1345      
0.0000        0.0767      
0.2500        0.0463      
0.7700        0.0316      
1.0500        0.0204      
1.1900        0.0264      
1.4400        0.0186      
1.3300        0.0093      
1.3800        0.0075      
0.2300        0.0019      
0.2100        0.0000      
0.0900        0.0000      
0.0800        0.0000      
0.0000        0.0000      
0.0200        0.0001      
0.7200        0.0114      
1.2200        0.0087      
1.3300        0.0107      
0.9800        0.0055      
3.2700        1.4210      
2.2400        0.0592      
0.3300        0.0327      
0.1300        0.0132      
0.0000        0.0015      
0.0000        0.0000      
0.0000        0.0000      
0.2900        0.0024      
0.4300        0.0134      
0.6500        0.0206      
1.2300        0.0253      
1.0300        0.0116      
2.3500        0.0077      
0.7300        0.0070      
0.4800        0.0055      
0.1100        0.0000      
0.0000        0.0000      
0.0000        0.0000      
0.0000        0.0000      


FLOW_OUT_3
observed    simulated
46.2700       3.1530      
59.3600       92.5200     
143.5500      153.9000    
233.8700      74.5100     
91.6400       19.7100     
6.9600        1.2620      
0.9700        0.0000      
0.4800        0.0000      
0.8500        0.0000      
10.8200       0.0000      
28.0900       0.0441      
40.0100       8.9640      
48.1700       0.8250      
56.7000       118.4000    
213.4200      101.2000    
329.3000      121.3000    
72.6700       60.9600     
10.3300       23.4100     
2.9700        3.6970      
0.7200        0.0000      
3.1000        0.0000      
22.8900       0.0000      
36.4100       31.8300     
72.6800       6.5020      
66.1800       76.4500     
97.1100       233.1000    
150.5900      209.4000    
458.1700      128.9000    
423.7100      128.1000    
241.7000      66.5600     
43.4500       32.0300     
15.9700       14.9500     
23.6400       6.6920      
40.4300       3.4050      
57.0300       17.8300     
72.3900       30.4700     
61.6200       43.2300     
77.9000       101.7000    
173.6500      68.7700     
415.1000      51.0800     
277.3500      71.7700     
73.3700       32.4300     
10.4700       12.4700     
13.2200       3.2970      
10.8500       0.0099      
23.2600       0.0083      
129.6900      9.8210      
138.7700      59.4800     
201.9800      185.3000    
155.2700      169.9000    
448.4200      171.1000    
459.1800      213.8000    
226.2100      192.1000    
59.3300       78.5700     
16.1300       37.9800     
4.8100        16.9200     
16.5800       8.4970      
62.2400       5.0400      
256.3600      142.0000    
122.7200      88.3400     
115.0000      86.5000     
146.2100      65.1600     
225.8400      24.1800     
340.7700      112.5000    
326.3200      209.5000    
197.0500      154.1000    
31.1500       72.0500     
11.4400       36.2800     
19.1000       19.6700     
44.6000       11.6500     
50.4900       6.9420      
55.7300       4.4590      
69.2200       2.3990      
111.1100      29.2200     
155.4200      36.7900     
631.6700      233.0000    
255.0000      78.1000     
26.4200       36.2800     
17.9100       15.6000     
6.5100        4.3760      
17.5400       0.6241      
36.0800       0.3916      
52.3500       0.6435      
59.1000       0.2365      
55.5900       0.0000      
60.8900       32.6100     
88.3900       3.0410      
219.3300      12.7200     
134.9200      0.2437      
31.5900       0.0000      
14.5200       0.0000      
0.4200        0.0000      
2.0000        0.0000      
14.2500       0.0000      
58.4000       0.0000      
53.3600       0.2324      
52.1800       4.1540      
83.9100       244.0000    
305.7700      327.5000    
497.1300      86.9500     
184.2000      53.3500     
30.9700       21.1900     
4.6500        6.8130      
5.0400        0.7831      
5.6000        0.0000      
20.7100       0.0000      
38.6900       0.0000      
40.4000       0.0000      
48.5800       5.9090      
56.5800       3.9540      
57.8900       4.4980      
60.8400       4.0770      
13.4600       0.0000      
1.5900        0.0000      
2.6900        0.0000      
4.9800        0.0000      
2.6300        0.0000      
6.3300        0.0000      
19.6500       0.0000      
26.8100       13.5300     
29.2100       9.2810      
32.0300       99.0700     
111.7000      86.5300     
127.1000      34.7100     
23.6900       7.2750      
2.2600        0.0929      
0.5500        0.0000      
0.2700        0.0000      
0.2200        0.0000      
0.7700        0.0000      
10.3200       0.0000      
25.8400       4.3150      
30.2200       6.5130      
39.6700       53.6600     
70.3700       0.2846      
47.9700       0.0000      
13.9100       0.0000      
0.3500        0.0000      
0.2500        0.0000      
0.2000        0.0000      
0.1900        0.0000      


FLOW_OUT_7
observed    simulated
2.0800        0.1640      
12.5100       9.0480      
22.1800       0.8753      
44.6100       118.6000    
35.0900       97.2900     
53.5200       104.2000    
85.5200       53.1700     
373.4700      20.9700     
306.0000      3.6670      
113.1900      0.0000      
23.1200       0.0000      
5.8200        0.0004      
20.2100       32.0000     
28.9100       5.4760      
37.3400       52.1600     
50.1100       201.4000    
54.5100       207.8000    
60.2100       124.3000    
125.0300      127.5000    
192.0000      67.8700     
157.5700      33.6800     
52.1200       16.2400     
7.7000        7.6920      
10.0600       4.0810      
8.2500        18.2500     
14.4000       30.6100     
66.6200       43.2100     
88.9500       101.5000    
138.6700      67.8400     
122.6900      51.7000     
285.6400      72.1500     
254.1400      33.9800     
151.6200      13.9800     
48.0400       4.6100      
14.6200       0.4491      
5.4100        0.2568      
12.6600       8.7600      
37.6500       53.9300     
109.1500      161.9000    
67.8900       151.2000    
77.6600       157.7000    
112.9500      200.7000    
146.0300      185.9000    
244.2300      76.6000     
272.3200      38.1700     
184.8400      17.6900     
25.3300       9.1780      
14.9400       5.4270      
13.7100       141.1000    
34.9900       88.1200     
42.6100       86.6800     
46.6400       65.4700     
51.6200       24.7600     
75.3800       113.0000    
105.9700      210.7000    
353.0000      155.5000    
175.9800      73.6000     
27.8300       37.9200     
24.9300       20.7900     
3.5300        12.3100     
8.8900        7.3140      
30.3600       4.6420      
37.7200       2.5620      
40.0000       29.5200     
43.6500       37.2800     
42.3400       233.6000    
52.3400       79.3100     
139.3200      37.8800     
74.9800       17.2000     
18.0900       5.8210      
8.5800        1.5930      
0.3200        1.0330      
2.3900        0.9631      
8.9200        0.4204      
34.7400       0.0010      
33.0700       19.5600     
34.2900       3.2280      
55.8400       12.9900     
198.8400      0.4426      
308.3300      0.0000      
125.5300      0.0000      
38.5800       0.0000      
5.9600        0.0000      
4.3100        0.0000      
5.1800        0.0000      
15.4100       0.3170      
23.1800       4.3020      
25.4000       237.4000    
30.8100       312.5000    
32.8100       82.3200     
35.4700       52.6200     
33.6800       22.1800     
10.4400       8.1250      
0.7500        1.3670      
3.8300        0.0000      
2.0300        0.0000      
1.5800        0.0000      
4.5500        0.0000      
9.7000        5.9370      
14.4800       4.1770      
16.9400       4.6980      
23.9900       4.3650      
69.9200       0.0000      
63.2100       0.0000      
15.7700       0.0000      
3.8500        0.0000      
1.2600        0.0000      
0.3400        0.0000      
0.4000        0.0000      
0.6200        13.6700     
7.9000        9.4540      
0.9800        99.4000     
3.2700        79.5300     
2.2400        35.5900     
0.3300        8.4770      
0.1300        0.4295      
0.0000        0.0000      
0.0000        0.0000      
0.0000        0.0000      
0.2900        0.0000      
0.4300        0.0000      


NO3_OUT_7
observed    simulated
17000.0000    7467.0000   
510000.0000   57710.0000  
56000.0000    1479.0000   
61000.0000    0.0000      
1100.0000     0.0000      
14.0000       0.0000      
0.2300        0.0000      
5.8000        0.0000      
6.4000        0.0000      
3.2000        0.0000      
5800.0000     0.0000      
7400.0000     0.0000      

