
FLOW_OUT_1
observed    simulated
1.3800        0.0825      
1.8900        3.9450      
5.2000        1.6820      
6.7300        3.7290      
2.7100        1.0960      
0.1400        0.0363      
0.0300        0.0005      
0.0000        0.0000      
0.0000        0.0000      
0.1900        0.0021      
0.8400        0.0061      
1.4200        0.0115      
1.0400        0.2335      
1.0200        0.0114      
9.8500        2.9750      
11.0700       6.8720      
1.7700        3.8870      
0.1600        1.5670      
0.0800        0.3205      
0.0000        0.0000      
0.0000        0.0000      
0.1900        0.0044      
0.5600        0.0079      
2.2000        0.3580      
1.5100        3.5750      
1.7300        4.5660      
6.9200        3.9030      
28.2800       2.6350      
18.3700       1.5940      
4.1500        0.2907      
0.1100        0.0030      
0.0100        0.0002      
0.1600        0.0000      
0.9200        0.0000      
1.8500        0.0033      
2.0400        0.0141      
1.8000        0.0120      
2.1700        0.4236      
10.3100       1.2530      
32.1700       1.0420      
17.6400       1.3250      
2.8600        0.2245      
0.1500        0.0072      
0.1000        0.0007      
0.1100        0.0000      
0.6900        0.0011      
3.6700        1.0660      
4.0900        5.5260      
12.8400       7.1380      
5.6800        5.0050      
30.3400       5.2610      
21.8200       4.6920      
4.2400        1.9310      
0.6700        0.3170      
0.1600        0.0021      
0.0800        0.0000      
0.2700        0.0002      
0.9700        0.0050      
6.4500        0.4684      
1.1100        0.0361      
0.8900        0.0496      
2.0500        0.1818      
6.1800        0.0134      
10.8600       0.0996      
5.5400        0.0217      
7.0600        0.0067      
0.2000        0.0005      
0.0000        0.0000      
0.0900        0.0004      
1.0700        0.0020      
1.6500        0.0021      
1.9800        0.0027      
1.9300        0.0088      
2.9800        0.0053      
4.7500        0.0280      
17.8800       0.0380      
9.7900        0.0249      
0.8500        0.0078      
1.0900        0.0003      
0.0500        0.0000      
0.0000        0.0001      
1.0400        0.0036      
1.9800        0.0099      
1.9500        0.0097      
1.8400        0.0087      
2.7700        1.5420      
3.5800        0.0157      
10.1600       0.0064      
2.8400        0.0088      
0.3200        0.0114      
2.0500        0.0153      
0.0000        0.0028      
0.0000        0.0005      
0.2300        0.0003      
0.7000        0.0256      
0.8800        0.0202      
2.0700        0.3493      
1.8000        10.1600     
11.4900       2.0270      
8.5300        2.2410      
2.7100        0.7732      
0.5400        0.0230      
0.0000        0.0019      
0.0000        0.0009      
0.0000        0.0000      
0.2500        0.0010      
0.7700        0.0049      
1.0500        0.0050      
1.1900        0.0182      
1.4400        0.0165      
1.3300        0.0081      
1.3800        0.0067      
0.2300        0.0014      
0.2100        0.0000      
0.0900        0.0000      
0.0800        0.0000      
0.0000        0.0000      
0.0200        0.0001      
0.7200        0.0115      
1.2200        0.0089      
1.3300        0.0120      
0.9800        0.0063      
3.2700        1.9740      
2.2400        0.0349      
0.3300        0.0183      
0.1300        0.0051      
0.0000        0.0000      
0.0000        0.0000      
0.0000        0.0000      
0.2900        0.0018      
0.4300        0.0132      
0.6500        0.0219      
1.2300        0.0267      
1.0300        0.0125      
2.3500        0.0082      
0.7300        0.0074      
0.4800        0.0057      
0.1100        0.0000      
0.0000        0.0000      
0.0000        0.0000      
0.0000        0.0000      

